#ArrayIndex	n	rho_u_w1	rho_u_w2	rho_u_w3	rho_w1_w2	rho_w1_w3	rho_w2_w3	copula
1	300	0	~	~	~	~	~	~
2	300	0.1	~	~	~	~	~	~
3	300	0.2	~	~	~	~	~	~
4	300	0.3	~	~	~	~	~	~
5	300	0.4	~	~	~	~	~	~
6	300	0.5	~	~	~	~	~	~
7	300	0.6	~	~	~	~	~	~
8	300	0.7	~	~	~	~	~	~
9	300	0.8	~	~	~	~	~	~
10	300	0.9	~	~	~	~	~	~
11	500	0	~	~	~	~	~	~
12	500	0.1	~	~	~	~	~	~
13	500	0.2	~	~	~	~	~	~
14	500	0.3	~	~	~	~	~	~
15	500	0.4	~	~	~	~	~	~
16	500	0.5	~	~	~	~	~	~
17	500	0.6	~	~	~	~	~	~
18	500	0.7	~	~	~	~	~	~
19	500	0.8	~	~	~	~	~	~
20	500	0.9	~	~	~	~	~	~
21	1000	0	~	~	~	~	~	~
22	1000	0.1	~	~	~	~	~	~
23	1000	0.2	~	~	~	~	~	~
24	1000	0.3	~	~	~	~	~	~
25	1000	0.4	~	~	~	~	~	~
26	1000	0.5	~	~	~	~	~	~
27	1000	0.6	~	~	~	~	~	~
28	1000	0.7	~	~	~	~	~	~
29	1000	0.8	~	~	~	~	~	~
30	1000	0.9	~	~	~	~	~	~
31	300	0	0	~	0.2	~	~	~
32	300	0.1	0.05	~	0.2	~	~	~
33	300	0.2	0.1	~	0.2	~	~	~
34	300	0.3	0.15	~	0.2	~	~	~
35	300	0.4	0.2	~	0.2	~	~	~
36	300	0.5	0.25	~	0.2	~	~	~
37	300	0.6	0.3	~	0.2	~	~	~
38	300	0.7	0.35	~	0.2	~	~	~
39	300	0.8	0.4	~	0.2	~	~	~
40	300	0.9	0.45	~	0.2	~	~	~
41	500	0	0	~	0.2	~	~	~
42	500	0.1	0.05	~	0.2	~	~	~
43	500	0.2	0.1	~	0.2	~	~	~
44	500	0.3	0.15	~	0.2	~	~	~
45	500	0.4	0.2	~	0.2	~	~	~
46	500	0.5	0.25	~	0.2	~	~	~
47	500	0.6	0.3	~	0.2	~	~	~
48	500	0.7	0.35	~	0.2	~	~	~
49	500	0.8	0.4	~	0.2	~	~	~
50	500	0.9	0.45	~	0.2	~	~	~
51	1000	0	0	~	0.2	~	~	~
52	1000	0.1	0.05	~	0.2	~	~	~
53	1000	0.2	0.1	~	0.2	~	~	~
54	1000	0.3	0.15	~	0.2	~	~	~
55	1000	0.4	0.2	~	0.2	~	~	~
56	1000	0.5	0.25	~	0.2	~	~	~
57	1000	0.6	0.3	~	0.2	~	~	~
58	1000	0.7	0.35	~	0.2	~	~	~
59	1000	0.8	0.4	~	0.2	~	~	~
60	1000	0.9	0.45	~	0.2	~	~	~
61	300	0	0	0	0.2	0.2	0.2	~
62	300	0.1	0.05	0.05	0.2	0.2	0.2	~
63	300	0.2	0.1	0.1	0.2	0.2	0.2	~
64	300	0.3	0.15	0.15	0.2	0.2	0.2	~
65	300	0.4	0.2	0.2	0.2	0.2	0.2	~
66	300	0.5	0.25	0.25	0.2	0.2	0.2	~
67	300	0.6	0.3	0.3	0.2	0.2	0.2	~
68	300	0.7	0.35	0.35	0.2	0.2	0.2	~
69	300	0.8	0.4	0.4	0.2	0.2	0.2	~
70	300	0.9	0.45	0.45	0.2	0.2	0.2	~
71	500	0	0	0	0.2	0.2	0.2	~
72	500	0.1	0.05	0.05	0.2	0.2	0.2	~
73	500	0.2	0.1	0.1	0.2	0.2	0.2	~
74	500	0.3	0.15	0.15	0.2	0.2	0.2	~
75	500	0.4	0.2	0.2	0.2	0.2	0.2	~
76	500	0.5	0.25	0.25	0.2	0.2	0.2	~
77	500	0.6	0.3	0.3	0.2	0.2	0.2	~
78	500	0.7	0.35	0.35	0.2	0.2	0.2	~
79	500	0.8	0.4	0.4	0.2	0.2	0.2	~
80	500	0.9	0.45	0.45	0.2	0.2	0.2	~
81	1000	0	0	0	0.2	0.2	0.2	~
82	1000	0.1	0.05	0.05	0.2	0.2	0.2	~
83	1000	0.2	0.1	0.1	0.2	0.2	0.2	~
84	1000	0.3	0.15	0.15	0.2	0.2	0.2	~
85	1000	0.4	0.2	0.2	0.2	0.2	0.2	~
86	1000	0.5	0.25	0.25	0.2	0.2	0.2	~
87	1000	0.6	0.3	0.3	0.2	0.2	0.2	~
88	1000	0.7	0.35	0.35	0.2	0.2	0.2	~
89	1000	0.8	0.4	0.4	0.2	0.2	0.2	~
90	1000	0.9	0.45	0.45	0.2	0.2	0.2	~
91	300	0	~	~	~	~	~	Clayton
92	300	0.1	~	~	~	~	~	Clayton
93	300	0.2	~	~	~	~	~	Clayton
94	300	0.3	~	~	~	~	~	Clayton
95	300	0.4	~	~	~	~	~	Clayton
96	300	0.5	~	~	~	~	~	Clayton
97	300	0.6	~	~	~	~	~	Clayton
98	300	0.7	~	~	~	~	~	Clayton
99	300	0.8	~	~	~	~	~	Clayton
100	300	0.9	~	~	~	~	~	Clayton
101	500	0	~	~	~	~	~	Clayton
102	500	0.1	~	~	~	~	~	Clayton
103	500	0.2	~	~	~	~	~	Clayton
104	500	0.3	~	~	~	~	~	Clayton
105	500	0.4	~	~	~	~	~	Clayton
106	500	0.5	~	~	~	~	~	Clayton
107	500	0.6	~	~	~	~	~	Clayton
108	500	0.7	~	~	~	~	~	Clayton
109	500	0.8	~	~	~	~	~	Clayton
110	500	0.9	~	~	~	~	~	Clayton
111	1000	0	~	~	~	~	~	Clayton
112	1000	0.1	~	~	~	~	~	Clayton
113	1000	0.2	~	~	~	~	~	Clayton
114	1000	0.3	~	~	~	~	~	Clayton
115	1000	0.4	~	~	~	~	~	Clayton
116	1000	0.5	~	~	~	~	~	Clayton
117	1000	0.6	~	~	~	~	~	Clayton
118	1000	0.7	~	~	~	~	~	Clayton
119	1000	0.8	~	~	~	~	~	Clayton
120	1000	0.9	~	~	~	~	~	Clayton
121	300	0	0	~	0.2	~	~	Clayton
122	300	0.1	0.05	~	0.2	~	~	Clayton
123	300	0.2	0.1	~	0.2	~	~	Clayton
124	300	0.3	0.15	~	0.2	~	~	Clayton
125	300	0.4	0.2	~	0.2	~	~	Clayton
126	300	0.5	0.25	~	0.2	~	~	Clayton
127	300	0.6	0.3	~	0.2	~	~	Clayton
128	300	0.7	0.35	~	0.2	~	~	Clayton
129	300	0.8	0.4	~	0.2	~	~	Clayton
130	300	0.9	0.45	~	0.2	~	~	Clayton
131	500	0	0	~	0.2	~	~	Clayton
132	500	0.1	0.05	~	0.2	~	~	Clayton
133	500	0.2	0.1	~	0.2	~	~	Clayton
134	500	0.3	0.15	~	0.2	~	~	Clayton
135	500	0.4	0.2	~	0.2	~	~	Clayton
136	500	0.5	0.25	~	0.2	~	~	Clayton
137	500	0.6	0.3	~	0.2	~	~	Clayton
138	500	0.7	0.35	~	0.2	~	~	Clayton
139	500	0.8	0.4	~	0.2	~	~	Clayton
140	500	0.9	0.45	~	0.2	~	~	Clayton
141	1000	0	0	~	0.2	~	~	Clayton
142	1000	0.1	0.05	~	0.2	~	~	Clayton
143	1000	0.2	0.1	~	0.2	~	~	Clayton
144	1000	0.3	0.15	~	0.2	~	~	Clayton
145	1000	0.4	0.2	~	0.2	~	~	Clayton
146	1000	0.5	0.25	~	0.2	~	~	Clayton
147	1000	0.6	0.3	~	0.2	~	~	Clayton
148	1000	0.7	0.35	~	0.2	~	~	Clayton
149	1000	0.8	0.4	~	0.2	~	~	Clayton
150	1000	0.9	0.45	~	0.2	~	~	Clayton
151	300	0	0	0	0.2	0.2	0.2	Clayton
152	300	0.1	0.05	0.05	0.2	0.2	0.2	Clayton
153	300	0.2	0.1	0.1	0.2	0.2	0.2	Clayton
154	300	0.3	0.15	0.15	0.2	0.2	0.2	Clayton
155	300	0.4	0.2	0.2	0.2	0.2	0.2	Clayton
156	300	0.5	0.25	0.25	0.2	0.2	0.2	Clayton
157	300	0.6	0.3	0.3	0.2	0.2	0.2	Clayton
158	300	0.7	0.35	0.35	0.2	0.2	0.2	Clayton
159	300	0.8	0.4	0.4	0.2	0.2	0.2	Clayton
160	300	0.9	0.45	0.45	0.2	0.2	0.2	Clayton
161	500	0	0	0	0.2	0.2	0.2	Clayton
162	500	0.1	0.05	0.05	0.2	0.2	0.2	Clayton
163	500	0.2	0.1	0.1	0.2	0.2	0.2	Clayton
164	500	0.3	0.15	0.15	0.2	0.2	0.2	Clayton
165	500	0.4	0.2	0.2	0.2	0.2	0.2	Clayton
166	500	0.5	0.25	0.25	0.2	0.2	0.2	Clayton
167	500	0.6	0.3	0.3	0.2	0.2	0.2	Clayton
168	500	0.7	0.35	0.35	0.2	0.2	0.2	Clayton
169	500	0.8	0.4	0.4	0.2	0.2	0.2	Clayton
170	500	0.9	0.45	0.45	0.2	0.2	0.2	Clayton
171	1000	0	0	0	0.2	0.2	0.2	Clayton
172	1000	0.1	0.05	0.05	0.2	0.2	0.2	Clayton
173	1000	0.2	0.1	0.1	0.2	0.2	0.2	Clayton
174	1000	0.3	0.15	0.15	0.2	0.2	0.2	Clayton
175	1000	0.4	0.2	0.2	0.2	0.2	0.2	Clayton
176	1000	0.5	0.25	0.25	0.2	0.2	0.2	Clayton
177	1000	0.6	0.3	0.3	0.2	0.2	0.2	Clayton
178	1000	0.7	0.35	0.35	0.2	0.2	0.2	Clayton
179	1000	0.8	0.4	0.4	0.2	0.2	0.2	Clayton
180	1000	0.9	0.45	0.45	0.2	0.2	0.2	Clayton
181	300	0	~	~	~	~	~	Gumbel
182	300	0.1	~	~	~	~	~	Gumbel
183	300	0.2	~	~	~	~	~	Gumbel
184	300	0.3	~	~	~	~	~	Gumbel
185	300	0.4	~	~	~	~	~	Gumbel
186	300	0.5	~	~	~	~	~	Gumbel
187	300	0.6	~	~	~	~	~	Gumbel
188	300	0.7	~	~	~	~	~	Gumbel
189	300	0.8	~	~	~	~	~	Gumbel
190	300	0.9	~	~	~	~	~	Gumbel
191	500	0	~	~	~	~	~	Gumbel
192	500	0.1	~	~	~	~	~	Gumbel
193	500	0.2	~	~	~	~	~	Gumbel
194	500	0.3	~	~	~	~	~	Gumbel
195	500	0.4	~	~	~	~	~	Gumbel
196	500	0.5	~	~	~	~	~	Gumbel
197	500	0.6	~	~	~	~	~	Gumbel
198	500	0.7	~	~	~	~	~	Gumbel
199	500	0.8	~	~	~	~	~	Gumbel
200	500	0.9	~	~	~	~	~	Gumbel
201	1000	0	~	~	~	~	~	Gumbel
202	1000	0.1	~	~	~	~	~	Gumbel
203	1000	0.2	~	~	~	~	~	Gumbel
204	1000	0.3	~	~	~	~	~	Gumbel
205	1000	0.4	~	~	~	~	~	Gumbel
206	1000	0.5	~	~	~	~	~	Gumbel
207	1000	0.6	~	~	~	~	~	Gumbel
208	1000	0.7	~	~	~	~	~	Gumbel
209	1000	0.8	~	~	~	~	~	Gumbel
210	1000	0.9	~	~	~	~	~	Gumbel
211	300	0	0	~	0.2	~	~	Gumbel
212	300	0.1	0.05	~	0.2	~	~	Gumbel
213	300	0.2	0.1	~	0.2	~	~	Gumbel
214	300	0.3	0.15	~	0.2	~	~	Gumbel
215	300	0.4	0.2	~	0.2	~	~	Gumbel
216	300	0.5	0.25	~	0.2	~	~	Gumbel
217	300	0.6	0.3	~	0.2	~	~	Gumbel
218	300	0.7	0.35	~	0.2	~	~	Gumbel
219	300	0.8	0.4	~	0.2	~	~	Gumbel
220	300	0.9	0.45	~	0.2	~	~	Gumbel
221	500	0	0	~	0.2	~	~	Gumbel
222	500	0.1	0.05	~	0.2	~	~	Gumbel
223	500	0.2	0.1	~	0.2	~	~	Gumbel
224	500	0.3	0.15	~	0.2	~	~	Gumbel
225	500	0.4	0.2	~	0.2	~	~	Gumbel
226	500	0.5	0.25	~	0.2	~	~	Gumbel
227	500	0.6	0.3	~	0.2	~	~	Gumbel
228	500	0.7	0.35	~	0.2	~	~	Gumbel
229	500	0.8	0.4	~	0.2	~	~	Gumbel
230	500	0.9	0.45	~	0.2	~	~	Gumbel
231	1000	0	0	~	0.2	~	~	Gumbel
232	1000	0.1	0.05	~	0.2	~	~	Gumbel
233	1000	0.2	0.1	~	0.2	~	~	Gumbel
234	1000	0.3	0.15	~	0.2	~	~	Gumbel
235	1000	0.4	0.2	~	0.2	~	~	Gumbel
236	1000	0.5	0.25	~	0.2	~	~	Gumbel
237	1000	0.6	0.3	~	0.2	~	~	Gumbel
238	1000	0.7	0.35	~	0.2	~	~	Gumbel
239	1000	0.8	0.4	~	0.2	~	~	Gumbel
240	1000	0.9	0.45	~	0.2	~	~	Gumbel
241	300	0	0	0	0.2	0.2	0.2	Gumbel
242	300	0.1	0.05	0.05	0.2	0.2	0.2	Gumbel
243	300	0.2	0.1	0.1	0.2	0.2	0.2	Gumbel
244	300	0.3	0.15	0.15	0.2	0.2	0.2	Gumbel
245	300	0.4	0.2	0.2	0.2	0.2	0.2	Gumbel
246	300	0.5	0.25	0.25	0.2	0.2	0.2	Gumbel
247	300	0.6	0.3	0.3	0.2	0.2	0.2	Gumbel
248	300	0.7	0.35	0.35	0.2	0.2	0.2	Gumbel
